Hours_Studied,Previous_Scores,Sleep_Hours,Sample_Question_Papers_Practiced,Performance_Index
7,99,9,1,91
4,82,4,2,65
8,51,7,2,45
5,52,5,2,36
7,75,8,5,66
3,78,9,6,61
7,73,5,6,63
8,45,4,6,42
5,77,8,2,61
4,89,4,0,69
8,91,4,5,84
8,79,6,2,73
3,47,9,2,27
6,47,4,2,33
5,79,7,8,68
2,72,4,3,43
8,73,8,4,67
6,83,7,2,70
2,54,4,9,30
5,75,7,0,63
1,99,4,3,71
6,96,9,0,85
9,74,7,6,73
1,85,5,6,57
3,61,6,3,35
7,62,7,4,49
4,79,8,9,66
9,84,6,6,83
3,94,6,5,74
5,90,4,3,74
3,61,7,3,39
7,44,9,1,36
5,70,6,9,58
9,52,8,1,47
7,67,9,3,60
2,97,9,4,74
4,59,8,3,42
9,72,8,2,68
2,55,4,1,32
9,68,5,3,64
5,62,7,4,45
2,63,6,0,39
4,73,7,0,58
7,46,9,5,36
8,77,6,4,71
3,76,4,3,54
1,43,7,0,17
4,73,4,6,54
2,81,4,3,58
8,61,7,2,53
4,44,7,6,27
2,89,6,1,65
6,81,9,9,75
6,62,9,0,52
4,93,8,3,78
6,99,4,7,91
2,54,9,5,33
2,70,5,8,47
4,98,6,0,78
8,48,6,0,38
7,82,8,4,70
9,97,8,5,98
8,92,4,7,87
5,64,6,2,49
2,64,6,5,41
5,88,5,2,71
8,60,4,7,54
9,48,4,3,42
9,94,9,1,91
1,87,8,8,61
9,77,9,9,74
7,61,4,7,54
9,82,5,5,81
8,62,4,2,52
1,88,9,1,65
8,43,7,3,36
8,68,7,3,61
3,54,5,0,35
1,40,8,8,15
8,93,6,9,88
3,69,4,7,45
3,68,9,6,49
1,59,8,5,33
5,72,9,2,60
7,80,8,3,71
9,83,4,1,81
7,75,6,6,67
9,99,4,1,95
8,61,6,9,58
2,52,9,0,29
1,46,5,5,21
7,47,6,3,38
7,67,8,7,60
8,84,5,0,76
5,82,9,8,69
3,48,7,5,30
8,64,5,1,57
6,95,6,7,81
3,55,5,4,36
